,State,Country,Region,sarimaI_CC,sarimaI_F,HWI_CC,HWI_F,LRI_CC,LRI_F,LGBMI_CC,LGBMI_F,PROPHET_CC,PROPHET_F
17402,,Kuwait,Kuwait,15.433659684139487,40.4988146785091,13.104247725771085,24.975341580613346,24.149842334643434,14.231635416302025,29.75221726888127,42.93646284369545,20.915757089107842,inf
17515,,Kyrgyzstan,Kyrgyzstan,2.4779423931163684,26.388448949424564,6.3328650443266605,16.83929891246964,19.64969820326202,7.5319396051103364,15.815337964197578,26.388448949424564,7.3355306802634885,inf
17628,,Laos,Laos,0.0,,1.6290726817042605,,0.0,,0.0,,34.19340649603807,
17741,,Latvia,Latvia,3.8637063755492864,36.78389327789009,7.47071811280965,36.78389327789009,21.902763187853484,24.922852324498482,8.572444689974393,36.78389327789009,4.319037293782464,23.18451667975945
17854,,Lebanon,Lebanon,2.598087580745093,7.440975690975693,3.2108945709666963,5.923271173271173,1.7703535599164786,3.6230158730158726,5.472539934416789,7.440975690975693,7.517073276593638,6.217366941051152
17967,,Liberia,Liberia,3.1787796461127726,20.06755050505051,6.3013931280967235,11.393939393939396,244.26285699231127,219.9627525252525,21.272426060684374,25.154040404040394,13.247749579135768,inf
18080,,Libya,Libya,8.159659513831773,30.555555555555546,16.417148328721133,30.555555555555546,49.2786026222412,9.920634920634921,9.548845610301173,30.555555555555546,22.506514955586,25.7936507936508
18193,,Liechtenstein,Liechtenstein,1.1639494701825328,0.0,2.847679270443498,0.0,13.682052164436985,10.0,0.5226480836236935,0.0,2.8673586031334115,47.5
18306,,Lithuania,Lithuania,20.58486555528391,4.7069296838461545,29.85930498154986,10.17353009134206,98.54071591446353,71.05033552981213,4.778146971484482,12.163178770977764,12.188073049086313,15.330675520835113
18419,,Luxembourg,Luxembourg,2.2339862606675744,8.659131034870898,2.828528588774946,2.0419262211790588,7.224346055673922,2.8405383766661423,3.480252332765056,11.439540928711505,10.944911189028964,16.559196982055813
