Region,SARIMA,TES,LR,LightGBM,Prophet
Afghanistan,21.541,13.743,9.663,28.317,17.973
Albania,3.344,1.44,11.083,6.704,10.433
Algeria,2.931,0.767,36.686,9.627,23.695
Andorra,4.789,6.254,0.949,9.116,13.781
Angola,0.0,2.381,300.0,0.0,0.0
Antigua and Barbuda,0.0,30.631,0.0,0.0,inf
Argentina,12.385,7.536,5.483,22.818,7.415
Armenia,19.402,6.354,4.053,22.286,7.649
"Australian Capital Territory, Australia",0.0,19.841,0.0,0.0,24.206
"New South Wales, Australia",17.468,11.816,16.438,17.468,8.495
"Queensland, Australia",0.0,21.429,0.0,0.0,15.476
"South Australia, Australia",0.0,0.0,0.0,0.0,inf
"Tasmania, Australia",16.865,5.111,10.367,20.515,9.675
"Victoria, Australia",10.199,4.314,8.347,10.199,24.303
"Western Australia, Australia",8.499,6.137,6.911,8.499,29.167
Austria,3.509,3.379,8.968,11.944,12.726
Azerbaijan,17.242,20.697,2.386,12.844,5.668
Bahamas,4.545,7.888,4.377,9.091,43.112
Bahrain,6.898,5.86,25.892,6.898,16.781
Bangladesh,10.682,7.077,115.044,25.42,26.413
Barbados,13.553,4.396,13.553,13.553,inf
Belarus,12.968,7.724,1.347,25.987,14.698
Belgium,5.194,10.308,11.892,13.914,13.045
Belize,0.0,19.737,0.0,0.0,inf
Benin,17.105,17.105,17.105,17.105,31.579
Bolivia,24.205,18.634,7.052,28.089,16.468
Bosnia and Herzegovina,14.921,6.414,3.525,18.633,7.799
Botswana,0.0,0.0,300.0,0.0,0.0
Brazil,23.456,19.812,5.378,31.555,26.734
Brunei,0.0,0.0,0.0,0.0,0.0
Bulgaria,18.595,6.605,3.952,20.965,5.828
Burkina Faso,7.942,8.192,1.753,10.635,10.955
Burma,5.952,19.762,107.778,5.952,35.675
Burundi,0.0,0.0,0.0,0.0,67.742
Cabo Verde,14.286,14.286,300.0,14.286,14.286
Cameroon,16.367,30.842,8.881,20.255,33.755
"Alberta, Canada",21.881,18.752,88.545,24.002,4.979
"British Columbia, Canada",7.931,1.755,3.63,15.026,7.515
"Manitoba, Canada",12.075,9.127,11.395,12.075,18.197
"Newfoundland and Labrador, Canada",0.0,18.254,0.0,0.0,53.968
"Nova Scotia, Canada",33.917,5.771,29.599,41.176,inf
"Ontario, Canada",22.213,7.325,5.335,27.851,22.113
"Prince Edward Island, Canada",0.0,0.0,0.0,0.0,100.0
"Quebec, Canada",12.187,8.566,19.676,31.353,33.93
"Saskatchewan, Canada",16.032,8.815,9.853,16.032,9.07
Chad,100.0,100.0,100.0,100.0,100.0
Chile,3.355,0.95,2.41,23.221,9.755
"Anhui, China",0.0,0.0,0.0,0.0,0.0
"Beijing, China",4.762,3.439,4.762,4.762,4.762
"Chongqing, China",0.0,0.0,0.0,0.0,0.0
"Fujian, China",0.0,0.0,0.0,0.0,0.0
"Gansu, China",0.0,2.381,0.0,0.0,0.0
"Guangdong, China",0.0,0.0,0.0,0.0,0.0
"Guangxi, China",0.0,2.381,0.0,0.0,0.0
"Guizhou, China",0.0,2.381,0.0,0.0,0.0
"Hainan, China",0.0,0.0,0.0,0.0,0.0
"Hebei, China",0.0,0.0,0.0,0.0,0.0
"Heilongjiang, China",0.0,0.0,16.667,0.0,0.0
