,date,cap,state,Confirmed,Deaths
0,2020-05-13,5000,Kerala,10.0,0.0
1,2020-05-14,5000,Kerala,11.0,-0.0
2,2020-05-15,5000,Kerala,14.0,-0.0
3,2020-05-16,5000,Kerala,14.0,0.0
4,2020-05-17,5000,Kerala,14.0,0.0
5,2020-05-18,5000,Kerala,16.0,0.0
6,2020-05-19,5000,Kerala,21.0,-0.0
7,2020-05-20,5000,Kerala,20.0,0.0
8,2020-05-21,5000,Kerala,22.0,-0.0
9,2020-05-22,5000,Kerala,26.0,-0.0
10,2020-05-23,5000,Kerala,27.0,0.0
11,2020-05-24,5000,Kerala,29.0,0.0
12,2020-05-25,5000,Kerala,32.0,0.0
13,2020-05-26,5000,Kerala,39.0,-0.0
14,2020-05-27,5000,Kerala,39.0,0.0
15,2020-05-28,5000,Kerala,43.0,-0.0
16,2020-05-29,5000,Kerala,49.0,-0.0
17,2020-05-30,5000,Kerala,53.0,0.0
18,2020-05-31,5000,Kerala,57.0,0.0
19,2020-05-13,5000,Telengana,35.0,1.0
20,2020-05-14,5000,Telengana,34.0,0.0
21,2020-05-15,5000,Telengana,45.0,1.0
22,2020-05-16,5000,Telengana,38.0,0.0
23,2020-05-17,5000,Telengana,54.0,1.0
24,2020-05-18,5000,Telengana,52.0,1.0
25,2020-05-19,5000,Telengana,60.0,0.0
26,2020-05-20,5000,Telengana,62.0,1.0
27,2020-05-21,5000,Telengana,63.0,1.0
28,2020-05-22,5000,Telengana,77.0,1.0
29,2020-05-23,5000,Telengana,72.0,1.0
30,2020-05-24,5000,Telengana,91.0,1.0
31,2020-05-25,5000,Telengana,92.0,1.0
32,2020-05-26,5000,Telengana,103.0,1.0
33,2020-05-27,5000,Telengana,109.0,1.0
34,2020-05-28,5000,Telengana,114.0,1.0
35,2020-05-29,5000,Telengana,132.0,1.0
36,2020-05-30,5000,Telengana,132.0,1.0
37,2020-05-31,5000,Telengana,155.0,1.0
38,2020-05-13,5000,Delhi,350.0,7.0
39,2020-05-14,5000,Delhi,368.0,9.0
40,2020-05-15,5000,Delhi,390.0,10.0
41,2020-05-16,5000,Delhi,384.0,11.0
42,2020-05-17,5000,Delhi,386.0,13.0
43,2020-05-18,5000,Delhi,426.0,16.0
44,2020-05-19,5000,Delhi,365.0,17.0
45,2020-05-20,5000,Delhi,369.0,21.0
46,2020-05-21,5000,Delhi,388.0,26.0
47,2020-05-22,5000,Delhi,410.0,30.0
48,2020-05-23,5000,Delhi,404.0,35.0
49,2020-05-24,5000,Delhi,407.0,41.0
50,2020-05-25,5000,Delhi,446.0,49.0
51,2020-05-26,5000,Delhi,386.0,55.0
52,2020-05-27,5000,Delhi,390.0,66.0
53,2020-05-28,5000,Delhi,408.0,79.0
54,2020-05-29,5000,Delhi,431.0,92.0
55,2020-05-30,5000,Delhi,425.0,107.0
56,2020-05-31,5000,Delhi,427.0,125.0
57,2020-05-13,5000,Rajasthan,189.0,4.0
58,2020-05-14,5000,Rajasthan,185.0,3.0
59,2020-05-15,5000,Rajasthan,209.0,4.0
60,2020-05-16,5000,Rajasthan,212.0,3.0
61,2020-05-17,5000,Rajasthan,229.0,3.0
62,2020-05-18,5000,Rajasthan,246.0,3.0
63,2020-05-19,5000,Rajasthan,261.0,4.0
64,2020-05-20,5000,Rajasthan,285.0,4.0
65,2020-05-21,5000,Rajasthan,287.0,3.0
66,2020-05-22,5000,Rajasthan,317.0,4.0
67,2020-05-23,5000,Rajasthan,326.0,2.0
68,2020-05-24,5000,Rajasthan,351.0,2.0
69,2020-05-25,5000,Rajasthan,375.0,3.0
70,2020-05-26,5000,Rajasthan,397.0,4.0
71,2020-05-27,5000,Rajasthan,429.0,3.0
72,2020-05-28,5000,Rajasthan,439.0,2.0
73,2020-05-29,5000,Rajasthan,477.0,3.0
74,2020-05-30,5000,Rajasthan,496.0,1.0
75,2020-05-31,5000,Rajasthan,529.0,2.0
76,2020-05-13,5000,Uttar Pradesh,120.0,5.0
77,2020-05-14,5000,Uttar Pradesh,127.0,5.0
78,2020-05-15,5000,Uttar Pradesh,138.0,5.0
79,2020-05-16,5000,Uttar Pradesh,149.0,6.0
80,2020-05-17,5000,Uttar Pradesh,175.0,7.0
81,2020-05-18,5000,Uttar Pradesh,142.0,6.0
82,2020-05-19,5000,Uttar Pradesh,183.0,8.0
83,2020-05-20,5000,Uttar Pradesh,151.0,8.0
84,2020-05-21,5000,Uttar Pradesh,160.0,8.0
85,2020-05-22,5000,Uttar Pradesh,171.0,9.0
86,2020-05-23,5000,Uttar Pradesh,183.0,10.0
87,2020-05-24,5000,Uttar Pradesh,210.0,11.0
88,2020-05-25,5000,Uttar Pradesh,178.0,10.0
89,2020-05-26,5000,Uttar Pradesh,220.0,13.0
90,2020-05-27,5000,Uttar Pradesh,189.0,14.0
91,2020-05-28,5000,Uttar Pradesh,199.0,14.0
92,2020-05-29,5000,Uttar Pradesh,211.0,15.0
93,2020-05-30,5000,Uttar Pradesh,224.0,16.0
94,2020-05-31,5000,Uttar Pradesh,252.0,18.0
95,2020-05-13,5000,Haryana,34.0,1.0
96,2020-05-14,5000,Haryana,26.0,1.0
97,2020-05-15,5000,Haryana,23.0,0.0
98,2020-05-16,5000,Haryana,23.0,1.0
99,2020-05-17,5000,Haryana,28.0,1.0
100,2020-05-18,5000,Haryana,23.0,1.0
101,2020-05-19,5000,Haryana,26.0,1.0
102,2020-05-20,5000,Haryana,26.0,1.0
103,2020-05-21,5000,Haryana,18.0,1.0
104,2020-05-22,5000,Haryana,15.0,0.0
105,2020-05-23,5000,Haryana,16.0,1.0
106,2020-05-24,5000,Haryana,21.0,1.0
107,2020-05-25,5000,Haryana,17.0,1.0
108,2020-05-26,5000,Haryana,20.0,1.0
109,2020-05-27,5000,Haryana,20.0,1.0
110,2020-05-28,5000,Haryana,12.0,1.0
111,2020-05-29,5000,Haryana,10.0,0.0
112,2020-05-30,5000,Haryana,11.0,1.0
113,2020-05-31,5000,Haryana,17.0,1.0
114,2020-05-13,5000,Ladakh,0.0,0.0
115,2020-05-14,5000,Ladakh,-0.0,-0.0
116,2020-05-15,5000,Ladakh,0.0,-0.0
117,2020-05-16,5000,Ladakh,-0.0,-0.0
118,2020-05-17,5000,Ladakh,1.0,-0.0
119,2020-05-18,5000,Ladakh,-1.0,0.0
120,2020-05-19,5000,Ladakh,-0.0,0.0
121,2020-05-20,5000,Ladakh,0.0,0.0
122,2020-05-21,5000,Ladakh,-0.0,-0.0
123,2020-05-22,5000,Ladakh,0.0,-0.0
124,2020-05-23,5000,Ladakh,-0.0,-0.0
125,2020-05-24,5000,Ladakh,1.0,-0.0
126,2020-05-25,5000,Ladakh,-1.0,0.0
127,2020-05-26,5000,Ladakh,-0.0,0.0
128,2020-05-27,5000,Ladakh,0.0,0.0
129,2020-05-28,5000,Ladakh,-0.0,-0.0
130,2020-05-29,5000,Ladakh,0.0,-0.0
131,2020-05-30,5000,Ladakh,-0.0,-0.0
132,2020-05-31,5000,Ladakh,1.0,-0.0
133,2020-05-13,5000,Tamil Nadu,590.0,4.0
134,2020-05-14,5000,Tamil Nadu,571.0,4.0
135,2020-05-15,5000,Tamil Nadu,562.0,3.0
136,2020-05-16,5000,Tamil Nadu,569.0,4.0
137,2020-05-17,5000,Tamil Nadu,554.0,4.0
138,2020-05-18,5000,Tamil Nadu,579.0,4.0
139,2020-05-19,5000,Tamil Nadu,596.0,4.0
140,2020-05-20,5000,Tamil Nadu,613.0,5.0
141,2020-05-21,5000,Tamil Nadu,595.0,5.0
142,2020-05-22,5000,Tamil Nadu,585.0,5.0
143,2020-05-23,5000,Tamil Nadu,593.0,6.0
144,2020-05-24,5000,Tamil Nadu,578.0,6.0
145,2020-05-25,5000,Tamil Nadu,603.0,6.0
146,2020-05-26,5000,Tamil Nadu,620.0,6.0
147,2020-05-27,5000,Tamil Nadu,638.0,7.0
148,2020-05-28,5000,Tamil Nadu,619.0,7.0
149,2020-05-29,5000,Tamil Nadu,610.0,7.0
150,2020-05-30,5000,Tamil Nadu,618.0,8.0
151,2020-05-31,5000,Tamil Nadu,603.0,8.0
152,2020-05-13,5000,Karnataka,41.0,0.0
153,2020-05-14,5000,Karnataka,46.0,1.0
154,2020-05-15,5000,Karnataka,48.0,1.0
155,2020-05-16,5000,Karnataka,57.0,0.0
156,2020-05-17,5000,Karnataka,59.0,1.0
157,2020-05-18,5000,Karnataka,67.0,1.0
158,2020-05-19,5000,Karnataka,71.0,0.0
159,2020-05-20,5000,Karnataka,77.0,0.0
160,2020-05-21,5000,Karnataka,86.0,1.0
161,2020-05-22,5000,Karnataka,91.0,1.0
162,2020-05-23,5000,Karnataka,104.0,0.0
163,2020-05-24,5000,Karnataka,111.0,1.0
164,2020-05-25,5000,Karnataka,123.0,0.0
165,2020-05-26,5000,Karnataka,133.0,0.0
166,2020-05-27,5000,Karnataka,144.0,0.0
167,2020-05-28,5000,Karnataka,159.0,0.0
168,2020-05-29,5000,Karnataka,171.0,0.0
169,2020-05-30,5000,Karnataka,190.0,-0.0
170,2020-05-31,5000,Karnataka,205.0,0.0
171,2020-05-13,5000,Maharashtra,1469.0,49.0
172,2020-05-14,5000,Maharashtra,1535.0,49.0
173,2020-05-15,5000,Maharashtra,1635.0,51.0
174,2020-05-16,5000,Maharashtra,1668.0,53.0
175,2020-05-17,5000,Maharashtra,1749.0,58.0
176,2020-05-18,5000,Maharashtra,1945.0,61.0
177,2020-05-19,5000,Maharashtra,1979.0,58.0
178,2020-05-20,5000,Maharashtra,1991.0,66.0
179,2020-05-21,5000,Maharashtra,2067.0,66.0
180,2020-05-22,5000,Maharashtra,2176.0,69.0
181,2020-05-23,5000,Maharashtra,2217.0,71.0
182,2020-05-24,5000,Maharashtra,2305.0,77.0
183,2020-05-25,5000,Maharashtra,2507.0,81.0
184,2020-05-26,5000,Maharashtra,2546.0,79.0
185,2020-05-27,5000,Maharashtra,2562.0,87.0
186,2020-05-28,5000,Maharashtra,2640.0,88.0
187,2020-05-29,5000,Maharashtra,2749.0,92.0
188,2020-05-30,5000,Maharashtra,2790.0,95.0
189,2020-05-31,5000,Maharashtra,2877.0,102.0
190,2020-05-13,5000,Punjab,25.0,1.0
191,2020-05-14,5000,Punjab,11.0,1.0
192,2020-05-15,5000,Punjab,9.0,1.0
193,2020-05-16,5000,Punjab,7.0,1.0
194,2020-05-17,5000,Punjab,12.0,1.0
195,2020-05-18,5000,Punjab,11.0,1.0
196,2020-05-19,5000,Punjab,-1.0,1.0
197,2020-05-20,5000,Punjab,6.0,1.0
198,2020-05-21,5000,Punjab,-3.0,1.0
199,2020-05-22,5000,Punjab,-1.0,1.0
200,2020-05-23,5000,Punjab,-0.0,0.0
201,2020-05-24,5000,Punjab,6.0,1.0
202,2020-05-25,5000,Punjab,6.0,1.0
203,2020-05-26,5000,Punjab,-4.0,1.0
204,2020-05-27,5000,Punjab,4.0,1.0
205,2020-05-28,5000,Punjab,-5.0,1.0
206,2020-05-29,5000,Punjab,-3.0,1.0
207,2020-05-30,5000,Punjab,-1.0,0.0
208,2020-05-31,5000,Punjab,5.0,1.0
209,2020-05-13,5000,Jammu and Kashmir,36.0,0.0
210,2020-05-14,5000,Jammu and Kashmir,47.0,0.0
211,2020-05-15,5000,Jammu and Kashmir,47.0,1.0
212,2020-05-16,5000,Jammu and Kashmir,55.0,1.0
213,2020-05-17,5000,Jammu and Kashmir,73.0,1.0
214,2020-05-18,5000,Jammu and Kashmir,75.0,1.0
215,2020-05-19,5000,Jammu and Kashmir,86.0,2.0
216,2020-05-20,5000,Jammu and Kashmir,94.0,2.0
217,2020-05-21,5000,Jammu and Kashmir,112.0,2.0
218,2020-05-22,5000,Jammu and Kashmir,122.0,3.0
219,2020-05-23,5000,Jammu and Kashmir,140.0,4.0
220,2020-05-24,5000,Jammu and Kashmir,169.0,5.0
221,2020-05-25,5000,Jammu and Kashmir,184.0,6.0
222,2020-05-26,5000,Jammu and Kashmir,209.0,8.0
223,2020-05-27,5000,Jammu and Kashmir,233.0,10.0
224,2020-05-28,5000,Jammu and Kashmir,269.0,12.0
225,2020-05-29,5000,Jammu and Kashmir,299.0,15.0
226,2020-05-30,5000,Jammu and Kashmir,339.0,19.0
227,2020-05-31,5000,Jammu and Kashmir,393.0,24.0
228,2020-05-13,5000,Andhra Pradesh,56.0,1.0
229,2020-05-14,5000,Andhra Pradesh,61.0,1.0
230,2020-05-15,5000,Andhra Pradesh,65.0,1.0
231,2020-05-16,5000,Andhra Pradesh,60.0,1.0
232,2020-05-17,5000,Andhra Pradesh,51.0,1.0
233,2020-05-18,5000,Andhra Pradesh,71.0,1.0
234,2020-05-19,5000,Andhra Pradesh,68.0,0.0
