State,LGBMI_CC,LGBMI_F,HWI_CC,HWI_F,LRI_CC,LRI_F,LRII_CC,LRII_F,Poly_CC,Poly_F,Lasso_CC,Lasso_F,Ridge_CC,Ridge_F,PROPHET_CC,PROPHET_F
Andaman and Nicobar Islands,53.79500891265597,2.121212121212121,0.0,0.0,0.0,0.0,13353652094.764706,0.0,0.35294117647058826,0.0,1.0,0.0,0.4117647058823529,0.0,0.0,0.0
Andhra Pradesh,97.38324420677363,1.9839572192513368,29.529411764705884,0.35294117647058826,49.1764705882353,1.0,69.70588235294117,176756140.6470588,42.411764705882355,2.3529411764705883,59.294117647058826,0.0,70.76470588235294,0.7647058823529411,35.88235294117647,0.5294117647058824
Arunachal Pradesh,53.736185383244205,2.121212121212121,0.058823529411764705,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0
Assam,90.93226381461676,2.124777183600713,36.8235294117647,0.11764705882352941,921.6470588235294,238.47058823529412,39.94117647058823,595164029.0588236,37.8235294117647,56279112334.70588,41.35294117647059,0.0,43.411764705882355,0.9411764705882353,36.470588235294116,0.11764705882352941
Bihar,159.45989304812835,2.055258467023173,50.411764705882355,1.0588235294117647,41882.0,325.2352941176471,4353.0,0.5294117647058824,97.17647058823529,0.8235294117647058,159.94117647058823,0.0,215.7058823529412,0.5294117647058824,90.41176470588235,0.7058823529411765
Cases being reassigned to states,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chandigarh,57.144385026737964,2.0784313725490198,7.9411764705882355,0.058823529411764705,4.176470588235294,0.058823529411764705,11.176470588235293,1071106.0588235294,12.0,2.176470588235294,19.823529411764707,0.0,9.235294117647058,0.8823529411764706,5.647058823529412,0.11764705882352941
Chhattisgarh,67.96613190730838,2.121212121212121,12.764705882352942,0.0,353549778.9411765,0.0,64600039137.23529,0.0,26.647058823529413,0.0,17.58823529411765,0.0,17.0,0.0,31.058823529411764,0.0
Dadar Nagar Haveli,53.736185383244205,2.121212121212121,0.058823529411764705,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0
Delhi,463.08912655971477,13.005347593582888,91.3529411764706,6.588235294117647,306.05882352941177,7.9411764705882355,752.1764705882352,12.882352941176471,249.76470588235293,12.941176470588236,460.7647058823529,0.0,662.7058823529412,13.058823529411764,172.11764705882354,24.176470588235293
